Track Name,Artist Name(s),Track Duration (ms),Album Name,Album Release Date,Popularity,Explicit,Danceability,Energy,Valence,Tempo,Loudness,In my Playlist
Justified & Ancient - Stand by the Jams,The KLF,216270,Songs Collection,1992-08-03,0,False,0.617,0.872,0.504,111.458,-12.305,No
I Know You Want Me (Calle Ocho),Pitbull,237120,Pitbull Starring In Rebelution,2009-10-23,64,False,0.825,0.743,0.8,127.045,-5.995,No
From the Bottom of My Broken Heart,Britney Spears,312533,...Baby One More Time (Digital Deluxe Version),1999-01-12,56,False,0.677,0.665,0.706,74.981,-5.171,No
Apeman - 2014 Remastered Version,The Kinks,233400,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",2014-10-20,42,False,0.683,0.728,0.833,75.311,-8.92,No
You Can't Always Get What You Want,The Rolling Stones,448720,Let It Bleed,1969-12-05,0,False,0.319,0.627,0.497,85.818,-9.611,Yes
Don't Stop - 2004 Remaster,Fleetwood Mac,193346,Rumours,1977-02-04,79,False,0.671,0.71,0.834,118.745,-7.724,Yes
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",173799,Eastside (with Halsey & Khalid),2018-07-12,78,False,0.56,0.68,0.319,89.391,-7.648,Yes
Something About The Way You Look Tonight - Edit Version,Elton John,240546,Candle In The Wind 1997 / Something About ...,1997-01-01,61,False,0.48,0.628,0.541,143.412,-7.643,No
Juke Box Hero,Foreigner,259800,4 (Expanded),1981,74,False,0.357,0.653,0.522,176.647,-5.554,No
Mercy,Shawn Mendes,208733,Illuminate (Deluxe),2016-09-23,0,False,0.562,0.681,0.357,148.064,-4.934,No
